code,industry,update_date
sz002641,建筑材料,2025-12-12
sz002642,IT服务,2025-12-12
sz002643,电子化学品,2025-12-12
sz002644,中药,2025-12-12
sz002645,环境治理,2025-12-12
sz002646,白酒,2025-12-12
sz002648,化学制品,2025-12-12
sz002649,IT服务,2025-12-12
sz002651,军工装备,2025-12-12
sz002652,建筑材料,2025-12-12
sz002654,光学光电子,2025-12-12
sz002655,消费电子,2025-12-12
sz002657,IT服务,2025-12-12
sz002658,环保设备,2025-12-12
sz002659,教育,2025-12-12
sz002660,消费电子,2025-12-12
sz002661,食品加工制造,2025-12-12
sz002662,汽车零部件,2025-12-12
sz002663,建筑装饰,2025-12-12
sz002664,汽车零部件,2025-12-12
sz002666,化学制品,2025-12-12
sz002667,能源金属,2025-12-12
sz002668,白色家电,2025-12-12
sz002669,化学制品,2025-12-12
sz002670,证券,2025-12-12
sz002671,建筑材料,2025-12-12
sz002672,环境治理,2025-12-12
sz002673,证券,2025-12-12
sz002674,纺织制造,2025-12-12
sz002675,化学制药,2025-12-12
sz002676,白色家电,2025-12-12
sz002677,厨卫电器,2025-12-12
sz002678,家居用品,2025-12-12
sz002679,种植业与林业,2025-12-12
sz002681,消费电子,2025-12-12
sz002682,物流,2025-12-12
sz002685,工程机械,2025-12-12
sz002686,通用设备,2025-12-12
sz002687,服装家纺,2025-12-12
sz002688,养殖业,2025-12-12
sz002690,专用设备,2025-12-12
sz002691,专用设备,2025-12-12
sz002692,电网设备,2025-12-12
sz002694,建筑材料,2025-12-12
sz002695,食品加工制造,2025-12-12
sz002696,农产品加工,2025-12-12
sz002697,零售,2025-12-12
sz002698,自动化设备,2025-12-12
sz002700,燃气,2025-12-12
sz002701,包装印刷,2025-12-12
sz002702,食品加工制造,2025-12-12
sz002703,汽车零部件,2025-12-12
sz002705,小家电,2025-12-12
sz002706,电网设备,2025-12-12
sz002707,旅游及酒店,2025-12-12
sz002708,汽车零部件,2025-12-12
sz002712,文化传媒,2025-12-12
sz002715,汽车零部件,2025-12-12
sz002716,贵金属,2025-12-12
sz002718,建筑材料,2025-12-12
sz002719,食品加工制造,2025-12-12
sz002721,服装家纺,2025-12-12
sz002722,专用设备,2025-12-12
sz002723,光学光电子,2025-12-12
sz002724,光学光电子,2025-12-12
sz002725,汽车零部件,2025-12-12
sz002726,食品加工制造,2025-12-12
sz002727,医药商业,2025-12-12
sz002728,中药,2025-12-12
sz002729,其他电子,2025-12-12
sz002730,专用设备,2025-12-12
sz002731,服装家纺,2025-12-12
sz002732,饮料制造,2025-12-12
sz002733,电池,2025-12-12
sz002734,农化制品,2025-12-12
sz002735,包装印刷,2025-12-12
sz002736,证券,2025-12-12
sz002737,中药,2025-12-12
sz002739,影视院线,2025-12-12
sz002741,电子化学品,2025-12-12
sz002743,建筑装饰,2025-12-12
sz002745,光学光电子,2025-12-12
sz002746,养殖业,2025-12-12
sz002747,自动化设备,2025-12-12
sz002748,化学原料,2025-12-12
sz002749,农化制品,2025-12-12
sz002752,包装印刷,2025-12-12
sz002753,橡胶制品,2025-12-12
sz002755,化学制药,2025-12-12
sz002757,专用设备,2025-12-12
sz002758,农化制品,2025-12-12
sz002760,通用设备,2025-12-12
sz002761,建筑装饰,2025-12-12
sz002763,服装家纺,2025-12-12
sz002765,汽车零部件,2025-12-12
sz002766,汽车零部件,2025-12-12
sz002767,通用设备,2025-12-12
sz002771,IT服务,2025-12-12
sz002772,种植业与林业,2025-12-12
sz002774,专用设备,2025-12-12
sz002775,建筑装饰,2025-12-12
sz002777,IT服务,2025-12-12
sz002778,环境治理,2025-12-12
sz002780,服装家纺,2025-12-12
sz002782,其他电子,2025-12-12
sz002783,化学制品,2025-12-12
sz002786,专用设备,2025-12-12
sz002787,包装印刷,2025-12-12
sz002788,医药商业,2025-12-12
sz002790,家居用品,2025-12-12
sz002791,建筑材料,2025-12-12
sz002792,通信设备,2025-12-12
sz002793,化学制药,2025-12-12
sz002795,通用设备,2025-12-12
sz002796,通信设备,2025-12-12
sz002797,证券,2025-12-12
sz002798,家居用品,2025-12-12
sz002799,包装印刷,2025-12-12
sz002800,物流,2025-12-12
sz002802,化学制品,2025-12-12
sz002803,互联网电商,2025-12-12
sz002805,电池,2025-12-12
sz002806,汽车零部件,2025-12-12
sz002807,银行,2025-12-12
sz002809,化学制品,2025-12-12
sz002810,化学制品,2025-12-12
sz002811,建筑装饰,2025-12-12
sz002813,汽车零部件,2025-12-12
sz002815,元件,2025-12-12
sz002817,医疗器械,2025-12-12
sz002818,零售,2025-12-12
sz002819,通用设备,2025-12-12
sz002820,食品加工制造,2025-12-12
sz002823,电机,2025-12-12
sz002824,工业金属,2025-12-12
sz002825,塑料制品,2025-12-12
sz002826,化学制药,2025-12-12
sz002828,油气开采及服务,2025-12-12
sz002829,军工装备,2025-12-12
sz002830,建筑装饰,2025-12-12
sz002831,包装印刷,2025-12-12
sz002832,服装家纺,2025-12-12
sz002833,专用设备,2025-12-12
sz002835,计算机设备,2025-12-12
sz002836,包装印刷,2025-12-12
sz002838,塑料制品,2025-12-12
sz002839,银行,2025-12-12
sz002840,食品加工制造,2025-12-12
sz002842,小金属,2025-12-12
sz002843,通用设备,2025-12-12
sz002845,光学光电子,2025-12-12
sz002846,包装印刷,2025-12-12
sz002849,通用设备,2025-12-12
sz002852,农产品加工,2025-12-12
sz002855,消费电子,2025-12-12
sz002856,建筑装饰,2025-12-12
sz002857,电网设备,2025-12-12
sz002858,其他社会服务,2025-12-12
sz002859,其他电子,2025-12-12
sz002860,白色家电,2025-12-12
sz002861,消费电子,2025-12-12
sz002863,汽车零部件,2025-12-12
sz002866,消费电子,2025-12-12
sz002867,服装家纺,2025-12-12
sz002869,计算机设备,2025-12-12
sz002871,通用设备,2025-12-12
sz002873,中药,2025-12-12
sz002875,服装家纺,2025-12-12
sz002876,光学光电子,2025-12-12
sz002877,通用设备,2025-12-12
sz002878,文化传媒,2025-12-12
sz002879,电网设备,2025-12-12
sz002880,生物制品,2025-12-12
sz002883,建筑装饰,2025-12-12
sz002884,通用设备,2025-12-12
sz002885,其他电子,2025-12-12
sz002886,塑料制品,2025-12-12
sz002887,环境治理,2025-12-12
sz002888,消费电子,2025-12-12
sz002889,物流,2025-12-12
sz002890,专用设备,2025-12-12
sz002892,电机,2025-12-12
